order_id,customer,items_per_order,time_since_last_order,order_time,customer_frequency,total_cost,prep_time_estimate,timestamp,cluster,cluster_name
ORD_00000,tina,1,2449.227500681923,8.383333333333333,0.7,8.733739159464655,5.0,2024-01-01 08:23:00,0,Teddy Regular 🔧
ORD_00001,teddy,1,1460.111501174321,8.816666666666666,0.95,11.46470458309974,5.0,2024-01-01 08:49:00,1,Linda Chaos 🎵
ORD_00002,teddy,2,1421.2339110678276,9.233333333333333,0.95,22.659541126403376,10.0,2024-01-01 09:14:00,1,Linda Chaos 🎵
ORD_00003,louise,4,474.73748411882514,9.766666666666667,0.6,40.792205812231614,26.91112029827385,2024-01-01 09:46:00,0,Teddy Regular 🔧
ORD_00004,random_customer,3,2462.9399034825337,9.883333333333333,0.1,29.472839810604434,15.0,2024-01-01 09:53:00,2,Late Night Hugo 🕐
ORD_00005,random_customer,3,662.6289824631988,10.183333333333334,0.1,26.046289484247495,15.0,2024-01-01 10:11:00,2,Late Night Hugo 🕐
ORD_00006,random_customer,1,1077.2345640553726,10.366666666666667,0.1,8.063865008880857,5.0,2024-01-01 10:22:00,2,Late Night Hugo 🕐
ORD_00007,louise,6,455.26798896001014,10.466666666666667,0.6,37.65064901353048,51.82368964989077,2024-01-01 10:28:00,0,Teddy Regular 🔧
ORD_00008,gene,2,962.1361388138175,10.966666666666667,0.65,20.373682234746237,10.0,2024-01-01 10:58:00,0,Teddy Regular 🔧
ORD_00009,gene,2,1994.7499470277128,11.166666666666666,0.65,23.15861880342119,10.0,2024-01-01 11:10:00,0,Teddy Regular 🔧
ORD_00010,louise,6,533.2063738136892,11.633333333333333,0.6,38.17090986770583,37.80792793831834,2024-01-01 11:38:00,0,Teddy Regular 🔧
ORD_00011,tina,4,1189.9979550563585,11.716666666666667,0.7,41.71254796298695,20.0,2024-01-01 11:43:00,0,Teddy Regular 🔧
ORD_00012,teddy,5,1419.8715681534172,12.366666666666667,0.95,603.4286719238086,25.0,2024-01-01 12:22:00,-1,Absolutely Not 🚨
ORD_00013,random_customer,3,1396.1643213606815,12.55,0.1,24.888535820809086,15.0,2024-01-01 12:33:00,2,Late Night Hugo 🕐
ORD_00014,random_customer,4,658.8958757150591,13.016666666666667,0.1,37.29436839764239,20.0,2024-01-01 13:01:00,2,Late Night Hugo 🕐
ORD_00015,louise,6,583.3289550971696,13.316666666666666,0.6,66.60275862505023,51.29310582183184,2024-01-01 13:19:00,0,Teddy Regular 🔧
ORD_00016,random_customer,1,2427.4179498864023,13.533333333333333,0.1,10.245108790277985,5.0,2024-01-01 13:32:00,2,Late Night Hugo 🕐
ORD_00017,hugo,2,2323.6742809799134,0.13333333333333333,0.3,18.20335301395276,12.0,2024-01-02 00:08:00,2,Late Night Hugo 🕐
ORD_00018,hugo,1,3231.148769106889,23.416666666666668,0.3,9.9971689165955,6.0,2024-01-02 23:25:00,2,Late Night Hugo 🕐
ORD_00019,teddy,1,1488.0467839015257,23.583333333333332,0.95,10.779139732158818,5.0,2024-01-02 23:35:00,1,Linda Chaos 🎵
ORD_00020,gene,4,2731.3974962249445,0.11666666666666667,0.65,34.98512094217657,20.0,2024-01-03 00:07:00,0,Teddy Regular 🔧
